iter	Passed	Remaining
0	2	199
1	3	174
2	5	169
3	6	150
4	7	143
5	8	135
6	9	131
7	10	126
8	11	121
9	12	116
10	13	113
11	14	109
12	15	105
13	16	102
14	17	99
15	18	96
16	19	94
17	20	91
18	21	89
19	21	87
20	22	85
21	23	83
22	24	81
23	25	79
24	25	77
25	26	75
26	27	74
27	28	72
28	29	71
29	29	69
30	30	67
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	35	60
37	36	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	40	50
45	41	49
46	42	48
47	43	46
48	44	45
49	45	45
50	45	43
51	46	43
52	47	42
53	48	41
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
